Full Name	Short Name
NADH-plastoquinone oxidoreductase subunit I	ndhI
NADH dehydrogenase subunit I	ndhI
NdhI	ndhI
NADH dehydrogenase 18kD subunit	ndhI
NADH-plastoquinone oxidoreductase subunit I'	ndhI
NADH dehydrogenase 18 kDa subunit	ndhI
NAD(P)H-quinone oxidoreductase subunit I	ndhI
NADH-plastoquinone oxidoreductase subunitI	ndhI
NADH dehydrogenase 18kDa subunit	ndhI
NADPH dehydrogenase complex I	ndhI
NADH plastoquinone oxidoreductase subunit I	ndhI
NADH-plastoquinoneoxidoreductase subunit I	ndhI
NAHD-plastoquinone oxidoreductase subunit I	ndhI
ndhI protein	ndhI
NADH-plastoquinone oxidoreductase subunit I''	ndhI
NADH-plastoquinone oxidoreducta sesubunit I	ndhI
NADH-plastoquinone oxidorectase subunit I	ndhI
plastoquinone oxidoreductase subunit I	ndhI
MADH-plastoquinone oxidoreductase subunit I	ndhI
NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit I	ndhI
NADH dehydrogenase 18 kD subunit	ndhI
NADH-plastoquinone oxidoreductase subunit 8	ndhI
18 kDa subunit of NADH-plastoquinone oxidoreductase	ndhI
NADH dehydrogenase subsunit I	ndhI
NADH-plastoquinone oxdoreductase subunit I	ndhI
NADH-plastoquinone oxidoreductase SU I	ndhI
NADH dehyrogenase subunit I	ndhI
NADH-plastoquinoneoxidoreductasesubunitI	ndhI
NDH subunit I	ndhI
NADH-plastoquinoneo xidoreductase subunit I	ndhI
NdhI; NDH complex (ferredoxin:plastoquinone oxidoreductase) subunit I	ndhI
